Date,Open,High,Low,Close,Adj Close,Volume,daily_return,log_return,SMA_short,SMA_long,EMA_short,EMA_long,volatility,ATR,RSI,MACD,bollinger_h,bollinger_l,momentum,ROC,Day_of_week,Month,Quarter,lagged_return,lagged_close,volume_change,volume_sma,price_to_sma,high_low_range
2010-09-14,1.369333,1.44,1.368667,1.408,1.408,9820500,0.019305265276367,0.019121282759548743,1.3746665999999998,1.3140266399999998,1.3703326130163407,1.3637317171970191,0.026476032870477836,0.047666571428571385,57.3792156908431,0.017416264546680438,1.436025419636121,1.2343745803638788,0.014666999999999986,1.0526557542238635,1,9,3,0.027267717583609796,1.381333,0.814578713968958,7247100.0,1.0242483522913848,0.07133299999999987
2010-09-15,1.398667,1.466667,1.386,1.465333,1.465333,10269000,0.040719460227272686,0.039912262657861824,1.3913331999999998,1.3218533,1.3876054106497333,1.3677160812285085,0.027438923109759393,0.046666571428571384,62.618607072460705,0.024115397484357093,1.4564881781647,1.2327784218353002,0.08466599999999991,6.132253468794424,2,9,3,0.019305265276367,1.408,0.04566977241484649,7424625.0,1.0531862533000724,0.08066700000000004
2010-09-16,1.476667,1.544,1.389333,1.396,1.396,40267500,-0.047315524867043934,-0.04847151605353186,1.3945999,1.32870664,1.3891316996225092,1.368825254513665,0.029479443503475748,0.054523785714285684,53.97710908227468,0.023558348959923148,1.4571707180036142,1.2465625819963855,0.05133299999999985,3.8175250824181717,3,9,3,0.040719460227272686,1.465333,2.9212678936605316,8987025.0,1.0010039438551515,0.1546670000000001
2010-09-17,1.401333,1.421333,1.32,1.348667,1.348667,17977500,-0.03390616045845263,-0.03449430710508054,1.3890666,1.33239998,1.3817744815093256,1.3680347347288155,0.030789197451700195,0.05999992857142854,49.00506134071662,0.019077591865737986,1.4516967514316506,1.2616365485683494,-0.03266599999999986,-2.3648171729771073,4,9,3,-0.047315524867043934,1.396,-0.5535481467684857,9451575.0,0.9709160093547711,0.1013329999999999
2010-09-20,1.378,1.423333,1.344,1.404,1.404,14212500,0.041027918678220754,0.04020860836851925,1.3891333,1.3372799800000001,1.3858154848712663,1.36944513728847,0.03177969066507667,0.06290464285714281,54.30421683658069,0.01976364722652435,1.452189725750784,1.2742102742492158,-0.0040000000000000036,-0.28409090909090606,0,9,3,-0.03390616045845263,1.348667,-0.2094284522319566,9940200.0,1.0107021406800918,0.07933299999999988
2010-09-21,1.392667,1.436667,1.378,1.384667,1.384667,11940000,-0.013769943019942943,-0.013865628086012657,1.3906667,1.34223998,1.385606669440127,1.3700420730810792,0.02988496486605707,0.06490471428571423,52.26080727616876,0.018533694620570307,1.4542335467270588,1.2764331532729412,-0.0806659999999999,-5.504960305950924,1,9,3,0.041027918678220754,1.404,-0.15989445910290234,9721125.0,0.9956857383584435,0.058667000000000025
2010-09-22,1.391333,1.396667,1.32,1.324667,1.324667,14443500,-0.043331718023178145,-0.04429857042049129,1.3838000999999998,1.34454666,1.3745267295419221,1.3682626584504487,0.029647499409849926,0.06519049999999996,46.42249850407635,0.012572521557551397,1.4497718570720457,1.285361542927954,-0.07133299999999987,-5.1098137535816495,2,9,3,-0.013769943019942943,1.384667,0.20967336683417082,9938475.0,0.9572675995615265,0.07666700000000004
2010-09-23,1.326,1.342667,1.3,1.304,1.304,10021500,-0.015601656869235758,-0.015724643592654092,1.3761334,1.3441733200000001,1.361703687807027,1.3657425541974901,0.02874691917617825,0.0638095714285714,44.5752896881542,0.006110160649972052,1.4514400432547652,1.2814266567452346,-0.04466700000000001,-3.3119368976923136,3,9,3,-0.043331718023178145,1.324667,-0.30615847959289644,10062075.0,0.9475825526798491,0.04266700000000001
2010-09-24,1.33,1.346,1.31,1.34,1.34,8683500,0.027607361963190247,0.027233150458358852,1.3756667,1.3444533199999997,1.3577575627512037,1.3647330422681767,0.029359759418063118,0.06333335714285712,48.42506939311661,0.0038492207861995364,1.4504558995437242,1.2847441004562756,-0.06399999999999983,-4.55840455840455,4,9,3,-0.015601656869235758,1.304,-0.1335129471635983,10170900.0,0.9740731530391773,0.03600000000000003
2010-09-27,1.36,1.387333,1.336667,1.368667,1.368667,6279000,0.021393283582089584,0.02116765951181271,1.3744001,1.34430666,1.3597410967964394,1.364887315120405,0.029681585046918684,0.06457142857142854,51.32446583758385,0.004320789601919506,1.4493966172063322,1.2913367827936677,-0.016000000000000014,-1.1555124806180816,0,9,3,0.027607361963190247,1.34,-0.27690447400241835,10200150.0,0.9958286528064136,0.05066599999999988
2010-09-28,1.402667,1.432667,1.384,1.426667,1.426667,18217500,0.042376998933999266,0.04150368109579555,1.3762668,1.3436266600000002,1.3719094428334504,1.3673100478607814,0.030980186449949997,0.06638092857142854,56.63609519461495,0.009267793208515895,1.4552033920159075,1.2957300079840925,0.10199999999999987,7.700048389519765,1,9,3,0.021393283582089584,1.368667,1.9013377926421406,10561425.0,1.036620951693378,0.048667000000000016
2010-09-29,1.412667,1.468667,1.408667,1.465333,1.465333,29539500,0.02710233011627805,0.02674156582328431,1.3762668000000002,1.34586666,1.3888955441364594,1.3711540851995743,0.030852724312697068,0.0689523571428571,59.78655708202821,0.016122502094498392,1.4645199856863196,1.3030800143136803,0.16133299999999995,12.372162576687117,2,9,3,0.042376998933999266,1.426667,0.621490325236723,11887575.0,1.0647157949316222,0.06000000000000005
2010-09-30,1.466667,1.476667,1.346,1.360667,1.360667,32937000,-0.07142813271795556,-0.07410749969624716,1.3727335,1.34612,1.383763081566194,1.3707428269564537,0.033679214224984044,0.07271428571428569,49.3373620205115,0.01295984379041637,1.464530119007853,1.3028032809921466,0.02066699999999999,1.542313432835818,3,9,3,0.02710233011627805,1.465333,0.11501548773675929,13163250.0,0.9912098743128218,0.13066699999999987
2010-10-01,1.379333,1.383333,1.354,1.373333,1.373333,8965500,0.009308669939081193,0.009265611277383783,1.3752001000000003,1.34558666,1.3818667030996132,1.3708444023699262,0.03304355730633551,0.07290478571428569,50.46561022007719,0.011344680232626692,1.462558199008933,1.301708500991067,0.004665999999999837,0.3409156500448818,4,10,4,-0.07142813271795556,1.360667,-0.7277985244557792,13246200.0,0.998642306672316,0.02933299999999983
2010-10-04,1.362,1.411333,1.353333,1.399333,1.399333,9654000,0.01893204343010768,0.018755062546783167,1.3747333999999998,1.34518666,1.3850423934451381,1.371961602276988,0.03333048651064625,0.07195242857142856,52.789798216732365,0.012024028667604991,1.4621659923477979,1.301700707652202,-0.02733399999999997,-1.915934131791086,0,10,4,0.009308669939081193,1.373333,0.0767943784507279,13402950.0,1.0178940876827465,0.05800000000000005
2010-10-05,1.41,1.418667,1.400667,1.408,1.408,4980000,0.006193665124741621,0.0061745632142183185,1.3770667,1.34541332,1.3892165037278401,1.3733748727759298,0.03283835984866511,0.06747621428571425,53.57183306475809,0.013110640362615111,1.4646532447561638,1.3030801552438362,-0.05733300000000008,-3.9126260037820826,1,10,4,0.01893204343010768,1.399333,-0.48415164698570545,13469400.0,1.0224631820666348,0.017999999999999794
2010-10-06,1.404,1.417333,1.354667,1.364,1.364,4701000,-0.03124999999999989,-0.03174869831458019,1.381,1.3452933200000001,1.3846316848682327,1.3730072307062855,0.03342371930659048,0.060904714285714236,49.123022688610995,0.010302593794744075,1.4635103240187064,1.3012897759812936,0.0033330000000000304,0.24495339418093565,2,10,4,0.006193665124741621,1.408,-0.05602409638554218,13488150.0,0.9876900796524258,0.06266599999999989
2010-10-07,1.371333,1.376,1.356,1.362,1.362,2115000,-0.0014662756598240456,-0.0014673516939497316,1.3868,1.3449066600000001,1.3805168330740085,1.3725755746001567,0.03336433135129318,0.05509521428571423,48.92414200287893,0.007825604674107423,1.463063413769855,1.299869986230145,-0.011332999999999815,-0.8252186468977185,3,10,4,-0.03124999999999989,1.364,-0.5500957243139757,13311750.0,0.9821171041246034,0.019999999999999796
2010-10-08,1.362,1.386,1.359333,1.362,1.362,4017000,0.0,0.0,1.3889999999999998,1.3450133199999998,1.3771501361514615,1.372160846184464,0.03280252971369231,0.05133335714285709,48.92414200287893,0.0057957630021088224,1.4627072653389313,1.301959434661069,-0.03733299999999984,-2.6679139275640473,4,10,4,-0.0014662756598240456,1.362,0.8992907801418439,13222650.0,0.9805615550755942,0.026666999999999996
